Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
Addressable::URI,initialize,options,"options => (Hash<%bot, %bot> or Hash<Symbol, (Integer or String)> or Hash<Symbol, String>)
",String,"    def initialize(options={})
      if options.has_key?(:authority)
        if (options.keys & [:userinfo, :user, :password, :host, :port]).any?
          raise ArgumentError,
            ""Cannot specify both an authority and any of the components "" +
            ""within the authority.""
        end
      end
      if options.has_key?(:userinfo)
        if (options.keys & [:user, :password]).any?
          raise ArgumentError,
            ""Cannot specify both a userinfo and either the user or password.""
        end
      end

      self.defer_validation do
        # Bunch of crazy logic required because of the composite components
        # like userinfo and authority.
        self.scheme = options[:scheme] if options[:scheme]
        self.user = options[:user] if options[:user]
        self.password = options[:password] if options[:password]
        self.userinfo = options[:userinfo] if options[:userinfo]
        self.host = options[:host] if options[:host]
        self.port = options[:port] if options[:port]
        self.authority = options[:authority] if options[:authority]
        self.path = options[:path] if options[:path]
        self.query = options[:query] if options[:query]
        self.query_values = options[:query_values] if options[:query_values]
        self.fragment = options[:fragment] if options[:fragment]
      end
      self.to_s
    end
","##
# Creates a new uri object from component parts.
#
# @option [String, #to_str] scheme The scheme component.
# @option [String, #to_str] user The user component.
# @option [String, #to_str] password The password component.
# @option [String, #to_str] userinfo
#   The userinfo component. If this is supplied, the user and password
#   components must be omitted.
# @option [String, #to_str] host The host component.
# @option [String, #to_str] port The port component.
# @option [String, #to_str] authority
#   The authority component. If this is supplied, the user, password,
#   userinfo, host, and port components must be omitted.
# @option [String, #to_str] path The path component.
# @option [String, #to_str] query The query component.
# @option [String, #to_str] fragment The fragment component.
#
# @return [Addressable::URI] The constructed URI object.
"
Addressable::URI,freeze,"","",Addressable::URI,"    def freeze
      self.normalized_scheme
      self.normalized_user
      self.normalized_password
      self.normalized_userinfo
      self.normalized_host
      self.normalized_port
      self.normalized_authority
      self.normalized_site
      self.normalized_path
      self.normalized_query
      self.normalized_fragment
      self.hash
      super
    end
","##
# Freeze URI, initializing instance variables.
#
# @return [Addressable::URI] The frozen URI object.
"
Addressable::URI,scheme,"","",String,"    def scheme
      return defined?(@scheme) ? @scheme : nil
    end
","##
# The scheme component for this URI.
#
# @return [String] The scheme component.
"
Addressable::URI,normalized_scheme,"","",String,"    def normalized_scheme
      return nil unless self.scheme
      @normalized_scheme ||= begin
        if self.scheme =~ /^\s*ssh\+svn\s*$/i
          ""svn+ssh"".dup
        else
          Addressable::URI.normalize_component(
            self.scheme.strip.downcase,
            Addressable::URI::CharacterClasses::SCHEME
          )
        end
      end
      # All normalized values should be UTF-8
      @normalized_scheme.force_encoding(Encoding::UTF_8) if @normalized_scheme
      @normalized_scheme
    end
","##
# The scheme component for this URI, normalized.
#
# @return [String] The scheme component, normalized.
"
Addressable::URI,scheme=,new_scheme,"new_scheme => String
",nil,"    def scheme=(new_scheme)
      if new_scheme && !new_scheme.respond_to?(:to_str)
        raise TypeError, ""Can't convert #{new_scheme.class} into String.""
      elsif new_scheme
        new_scheme = new_scheme.to_str
      end
      if new_scheme && new_scheme !~ /\A[a-z][a-z0-9\.\+\-]*\z/i
        raise InvalidURIError, ""Invalid scheme format: #{new_scheme}""
      end
      @scheme = new_scheme
      @scheme = nil if @scheme.to_s.strip.empty?

      # Reset dependent values
      remove_instance_variable(:@normalized_scheme) if defined?(@normalized_scheme)
      remove_composite_values

      # Ensure we haven't created an invalid URI
      validate()
    end
","##
# Sets the scheme component for this URI.
#
# @param [String, #to_str] new_scheme The new scheme component.
"
Addressable::URI,user,"","",String,"    def user
      return defined?(@user) ? @user : nil
    end
","##
# The user component for this URI.
#
# @return [String] The user component.
"
Addressable::URI,normalized_user,"","",String,"    def normalized_user
      return nil unless self.user
      return @normalized_user if defined?(@normalized_user)
      @normalized_user ||= begin
        if normalized_scheme =~ /https?/ && self.user.strip.empty? &&
            (!self.password || self.password.strip.empty?)
          nil
        else
          Addressable::URI.normalize_component(
            self.user.strip,
            Addressable::URI::CharacterClasses::UNRESERVED
          )
        end
      end
      # All normalized values should be UTF-8
      @normalized_user.force_encoding(Encoding::UTF_8) if @normalized_user
      @normalized_user
    end
","##
# The user component for this URI, normalized.
#
# @return [String] The user component, normalized.
"
Addressable::URI,user=,new_user,"new_user => String
",nil,"    def user=(new_user)
      if new_user && !new_user.respond_to?(:to_str)
        raise TypeError, ""Can't convert #{new_user.class} into String.""
      end
      @user = new_user ? new_user.to_str : nil

      # You can't have a nil user with a non-nil password
      if password != nil
        @user = EMPTY_STR if @user.nil?
      end

      # Reset dependent values
      remove_instance_variable(:@userinfo) if defined?(@userinfo)
      remove_instance_variable(:@normalized_userinfo) if defined?(@normalized_userinfo)
      remove_instance_variable(:@authority) if defined?(@authority)
      remove_instance_variable(:@normalized_user) if defined?(@normalized_user)
      remove_composite_values

      # Ensure we haven't created an invalid URI
      validate()
    end
","##
# Sets the user component for this URI.
#
# @param [String, #to_str] new_user The new user component.
"
Addressable::URI,password,"","",String,"    def password
      return defined?(@password) ? @password : nil
    end
","##
# The password component for this URI.
#
# @return [String] The password component.
"
Addressable::URI,normalized_password,"","",String,"    def normalized_password
      return nil unless self.password
      return @normalized_password if defined?(@normalized_password)
      @normalized_password ||= begin
        if self.normalized_scheme =~ /https?/ && self.password.strip.empty? &&
            (!self.user || self.user.strip.empty?)
          nil
        else
          Addressable::URI.normalize_component(
            self.password.strip,
            Addressable::URI::CharacterClasses::UNRESERVED
          )
        end
      end
      # All normalized values should be UTF-8
      if @normalized_password
        @normalized_password.force_encoding(Encoding::UTF_8)
      end
      @normalized_password
    end
","##
# The password component for this URI, normalized.
#
# @return [String] The password component, normalized.
"
Addressable::URI,password=,new_password,"new_password => String
",nil,"    def password=(new_password)
      if new_password && !new_password.respond_to?(:to_str)
        raise TypeError, ""Can't convert #{new_password.class} into String.""
      end
      @password = new_password ? new_password.to_str : nil

      # You can't have a nil user with a non-nil password
      @password ||= nil
      @user ||= nil
      if @password != nil
        @user = EMPTY_STR if @user.nil?
      end

      # Reset dependent values
      remove_instance_variable(:@userinfo) if defined?(@userinfo)
      remove_instance_variable(:@normalized_userinfo) if defined?(@normalized_userinfo)
      remove_instance_variable(:@authority) if defined?(@authority)
      remove_instance_variable(:@normalized_password) if defined?(@normalized_password)
      remove_composite_values

      # Ensure we haven't created an invalid URI
      validate()
    end
","##
# Sets the password component for this URI.
#
# @param [String, #to_str] new_password The new password component.
"
Addressable::URI,userinfo,"","",String,"    def userinfo
      current_user = self.user
      current_password = self.password
      (current_user || current_password) && @userinfo ||= begin
        if current_user && current_password
          ""#{current_user}:#{current_password}""
        elsif current_user && !current_password
          ""#{current_user}""
        end
      end
    end
","##
# The userinfo component for this URI.
# Combines the user and password components.
#
# @return [String] The userinfo component.
"
Addressable::URI,normalized_userinfo,"","",String,"    def normalized_userinfo
      return nil unless self.userinfo
      return @normalized_userinfo if defined?(@normalized_userinfo)
      @normalized_userinfo ||= begin
        current_user = self.normalized_user
        current_password = self.normalized_password
        if !current_user && !current_password
          nil
        elsif current_user && current_password
          ""#{current_user}:#{current_password}"".dup
        elsif current_user && !current_password
          ""#{current_user}"".dup
        end
      end
      # All normalized values should be UTF-8
      if @normalized_userinfo
        @normalized_userinfo.force_encoding(Encoding::UTF_8)
      end
      @normalized_userinfo
    end
","##
# The userinfo component for this URI, normalized.
#
# @return [String] The userinfo component, normalized.
"
