Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
EventMachine::FileWatch,receive_data,data,"data => String
",true,"    def receive_data(data)
      case data
      when Cmodified
        file_modified
      when Cdeleted
        file_deleted
      when Cmoved
        file_moved
      end
    end
","# @private
"
EventMachine::FileWatch,path,"","",String,"    def path
      @path
    end
","# Returns the path that is being monitored.
#
# @note Current implementation does not pick up on the new filename after a rename occurs.
#
# @return [String]
# @see EventMachine.watch_file
"
EventMachine::IOStreamer,initialize,"connection, io, opts","connection => TestIOStreamer::StreamServer
io => StringIO
opts => Hash<%bot, %bot>
",nil,"    def initialize(connection, io, opts = {})
      @connection = connection
      @io = io
      @http_chunks = opts[:http_chunks]

      @buff = String.new
      @io.binmode if @io.respond_to?(:binmode)
      stream_one_chunk
    end
","# @param [EventMachine::Connection] connection
# @param [IO] io Data source
#
# @option opts [Boolean] :http_chunks (false) Use HTTP 1.1 style chunked-encoding semantics.
"
EventMachine::IOStreamer,stream_one_chunk,"","",nil,"    def stream_one_chunk
      loop do
        if @io.eof?
          @connection.send_data ""0\r\n\r\n"" if @http_chunks
          succeed
          break
        end

        if @connection.respond_to?(:get_outbound_data_size) && (@connection.get_outbound_data_size > FileStreamer::BackpressureLevel)
          EventMachine::next_tick { stream_one_chunk }
          break
        end

        if @io.read(CHUNK_SIZE, @buff)
          @connection.send_data(""#{@buff.length.to_s(16)}\r\n"") if @http_chunks
          @connection.send_data(@buff)
          @connection.send_data(""\r\n"") if @http_chunks
        end
      end
    end
","# Used internally to stream one chunk at a time over multiple reactor ticks
# @private
"
EventMachine::Pool,initialize,"","",nil,"    def initialize
      @resources = EM::Queue.new
      @removed = []
      @contents = []
      @on_error = nil
    end
",""
EventMachine::Pool,add,resource,"resource => Symbol
",nil,"    def add resource
      @contents << resource
      requeue resource
    end
",""
EventMachine::Pool,remove,resource,"resource => Symbol
",Array<Symbol>,"    def remove resource
      @contents.delete resource
      @removed << resource
    end
",""
EventMachine::Pool,contents,"","",(Array<%bot> or Array<Symbol>),"    def contents
      @contents.dup
    end
","# Returns a list for introspection purposes only. You should *NEVER* call
# modification or work oriented methods on objects in this list. A good
# example use case is periodic statistics collection against a set of
# connection resources.
#
# @example
#   pool.contents.inject(0) { |sum, connection| connection.num_bytes }
"
EventMachine::Pool,on_error,"a, b","a => Array<%bot>
b => nil
",Proc,"    def on_error *a, &b
      @on_error = EM::Callback(*a, &b)
    end
","# Define a default catch-all for when the deferrables returned by work
# blocks enter a failed state. By default all that happens is that the
# resource is returned to the pool. If on_error is defined, this block is
# responsible for re-adding the resource to the pool if it is still usable.
# In other words, it is generally assumed that on_error blocks explicitly
# handle the rest of the lifetime of the resource.
"
EventMachine::Pool,perform,"a, b","a => (Array<%bot> or Array<RDL::Type::NominalType>)
b => nil
",nil,"    def perform(*a, &b)
      work = EM::Callback(*a, &b)

      @resources.pop do |resource|
        if removed? resource
          @removed.delete resource
          reschedule work
        else
          process work, resource
        end
      end
    end
","# Perform a given #call-able object or block. The callable object will be
# called with a resource from the pool as soon as one is available, and is
# expected to return a deferrable.
# 
# The deferrable will have callback and errback added such that when the
# deferrable enters a finished state, the object is returned to the pool.
#
# If on_error is defined, then objects are not automatically returned to the
# pool.
"
EventMachine::Pool,num_waiting,"","",Integer,"    def num_waiting
      @resources.num_waiting
    end
","# A peek at the number of enqueued jobs waiting for resources
"
EventMachine::Pool,removed?,resource,"resource => Symbol
",(false or true),"    def removed? resource
      @removed.include? resource
    end
","# Removed will show resources in a partial pruned state. Resources in the
# removed list may not appear in the contents list if they are currently in
# use.
"
EventMachine::Pool,requeue,resource,"resource => Symbol
",nil,"    def requeue resource
      @resources.push resource
    end
",""
EventMachine::Pool,failure,resource,"resource => Symbol
",Symbol,"    def failure resource
      if @on_error
        @contents.delete resource
        @on_error.call resource
        # Prevent users from calling a leak.
        @removed.delete resource
      else
        requeue resource
      end
    end
",""
EventMachine::Pool,completion,"deferrable, resource","deferrable => EventMachine::DefaultDeferrable
resource => Symbol
",EventMachine::DefaultDeferrable,"    def completion deferrable, resource
      deferrable.callback { requeue resource }
      deferrable.errback  { failure resource }
    end
",""
EventMachine::Pool,process,"work, resource","work => Proc
resource => Symbol
",EventMachine::DefaultDeferrable,"    def process work, resource
      deferrable = work.call resource
      if deferrable.kind_of?(EM::Deferrable)
        completion deferrable, resource
      else
        raise ArgumentError, ""deferrable expected from work""
      end
    rescue
      failure resource
      raise
    end
",""
EventMachine::Timer,initialize,"interval, callback, block","interval => (Float or Integer)
callback => Proc
block => nil
",Integer,"    def initialize interval, callback=nil, &block
      @signature = EventMachine::add_timer(interval, callback || block)
    end
","# Create a new timer that fires after a given number of seconds
"
EventMachine::Timer,cancel,"","",(false or nil),"    def cancel
      EventMachine.send :cancel_timer, @signature
    end
","# Cancel the timer
"
EventMachine::PeriodicTimer,initialize,"interval, callback, block","interval => (Float or Integer)
callback => Proc
block => nil
",Integer,"    def initialize interval, callback=nil, &block
      @interval = interval
      @code = callback || block
      @cancelled = false
      @work = method(:fire)
      schedule
    end
","# Create a new periodic timer that executes every interval seconds
"
EventMachine::PeriodicTimer,cancel,"","",true,"    def cancel
      @cancelled = true
    end
","# Cancel the periodic timer
"
EventMachine::PeriodicTimer,schedule,"","",Integer,"    def schedule
      EventMachine::add_timer @interval, @work
    end
","# @private
"
EventMachine::PeriodicTimer,fire,"","",Integer,"    def fire
      unless @cancelled
        @code.call
        schedule
      end
    end
","# @private
"
EventMachine::DNS::Socket,initialize,"","",nil,"      def initialize
        @nameserver = nil
      end
",""
EventMachine::DNS::Socket,post_init,"","","Hash<%bot, %bot>","      def post_init
        @requests = {}
      end
",""
EventMachine::Connection,initialize,args,"args => Array<%bot>
",nil,"    def initialize(*args)
    end
","# Stubbed initialize so legacy superclasses can safely call super
#
# @private
"
EventMachine::Connection,post_init,"","",nil,"    def post_init
    end
","# Called by the event loop immediately after the network connection has been established,
# and before resumption of the network loop.
# This method is generally not called by user code, but is called automatically
# by the event loop. The base-class implementation is a no-op.
# This is a very good place to initialize instance variables that will
# be used throughout the lifetime of the network connection.
#
# @see #connection_completed
# @see #unbind
# @see #send_data
# @see #receive_data
"
