Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
I18n::Middleware,initialize,app,"app => DummyRackApp
",DummyRackApp,"    def initialize(app)
      @app = app
    end
",""
I18n::Middleware,call,env,"env => Hash<%bot, %bot>
",Symbol,"    def call(env)
      @app.call(env)
    ensure
      Thread.current[:i18n_config] = I18n::Config.new
    end
",""
I18n::ExceptionHandler,call,"exception, _locale, _key, _options","exception => I18n::MissingTranslation
_locale => (String or Symbol)
_key => (String or Symbol)
_options => (Hash<%bot, %bot> or Hash<Symbol, Array<Symbol>> or Hash<Symbol, Integer> or Hash<Symbol, Symbol> or Hash<Symbol, false>)
",String,"    def call(exception, _locale, _key, _options)
      if exception.is_a?(MissingTranslation)
        exception.message
      else
        raise exception
      end
    end
",""
I18n::Disabled,initialize,method,"method => String
",I18n::Disabled,"    def initialize(method)
      super(<<~MESSAGE)
        I18n.#{method} is currently disabled, likely because your application is still in its loading phase.

        This method is meant to display text in the user locale, so calling it before the user locale has
        been set is likely to display text from the wrong locale to some users.

        If you have a legitimate reason to access i18n data outside of the user flow, you can do so by passing
        the desired locale explictly with the `locale` argument, e.g. `I18n.#{method}(..., locale: :en)`
      MESSAGE
    end
",""
I18n::InvalidLocale,initialize,locale,"locale => (String or Symbol)
",I18n::InvalidLocale,"    def initialize(locale)
      @locale = locale
      super ""#{locale.inspect} is not a valid locale""
    end
",""
I18n::InvalidLocaleData,initialize,"filename, exception_message","filename => String
exception_message => String
",I18n::InvalidLocaleData,"    def initialize(filename, exception_message)
      @filename, @exception_message = filename, exception_message
      super ""can not load translations from #{filename}: #{exception_message}""
    end
",""
I18n::MissingTranslation::Base,keys,"","",Array<Symbol>,"      def keys
        @keys ||= I18n.normalize_keys(locale, key, options[:scope]).tap do |keys|
          keys << 'no key' if keys.size < 2
        end
      end
",""
I18n::MissingTranslation::Base,message,"","",String,"      def message
        ""translation missing: #{keys.join('.')}""
      end
",""
I18n::MissingTranslation::Base,to_exception,"","",I18n::MissingTranslationData,"      def to_exception
        MissingTranslationData.new(locale, key, options)
      end
",""
I18n::InvalidPluralizationData,initialize,"entry, count, key","entry => Hash<Symbol, String>
count => Integer
key => Symbol
",I18n::InvalidPluralizationData,"    def initialize(entry, count, key)
      @entry, @count, @key = entry, count, key
      super ""translation data #{entry.inspect} can not be used with :count => #{count}. key '#{key}' is missing.""
    end
",""
I18n::MissingInterpolationArgument,initialize,"key, values, string","key => (String or Symbol)
values => Hash<Symbol, String>
string => String
",I18n::MissingInterpolationArgument,"    def initialize(key, values, string)
      @key, @values, @string = key, values, string
      super ""missing interpolation argument #{key.inspect} in #{string.inspect} (#{values.inspect} given)""
    end
",""
I18n::ReservedInterpolationKey,initialize,"key, string","key => Symbol
string => String
",I18n::ReservedInterpolationKey,"    def initialize(key, string)
      @key, @string = key, string
      super ""reserved key #{key.inspect} used in #{string.inspect}""
    end
",""
I18n::UnknownFileType,initialize,"type, filename","type => String
filename => String
",I18n::UnknownFileType,"    def initialize(type, filename)
      @type, @filename = type, filename
      super ""can not load translations from #{filename}, the file type #{type} is not known""
    end
",""
I18n::Config,locale,"","",(Symbol or false),"    def locale
      defined?(@locale) && @locale != nil ? @locale : default_locale
    end
","# The only configuration value that is not global and scoped to thread is :locale.
# It defaults to the default_locale.
"
I18n::Config,locale=,locale,"locale => (String or Symbol or false)
",(Symbol or false),"    def locale=(locale)
      I18n.enforce_available_locales!(locale)
      @locale = locale && locale.to_sym
    end
","# Sets the current locale pseudo-globally, i.e. in the Thread.current hash.
"
I18n::Config,backend,"","",(I18n::Backend::Chain or I18n::Backend::KeyValue or I18n::Backend::Simple or I18nTest),"    def backend
      @@backend ||= Backend::Simple.new
    end
","# Returns the current backend. Defaults to +Backend::Simple+.
"
I18n::Config,backend=,backend,"backend => (I18n::Backend::Chain or I18n::Backend::KeyValue or I18n::Backend::Simple or I18nTest)
",(I18n::Backend::Chain or I18n::Backend::KeyValue or I18n::Backend::Simple or I18nTest),"    def backend=(backend)
      @@backend = backend
    end
","# Sets the current backend. Used to set a custom backend.
"
I18n::Config,default_locale,"","",Symbol,"    def default_locale
      @@default_locale ||= :en
    end
","# Returns the current default locale. Defaults to :'en'
"
I18n::Config,default_locale=,locale,"locale => (String or Symbol)
",Symbol,"    def default_locale=(locale)
      I18n.enforce_available_locales!(locale)
      @@default_locale = locale && locale.to_sym
    end
","# Sets the current default locale. Used to set a custom default locale.
"
I18n::Config,available_locales,"","",(Array<%bot> or Array<Symbol>),"    def available_locales
      @@available_locales ||= nil
      @@available_locales || backend.available_locales
    end
","# Returns an array of locales for which translations are available.
# Unless you explicitely set these through I18n.available_locales=
# the call will be delegated to the backend.
"
I18n::Config,available_locales_set,"","",Set,"    def available_locales_set #:nodoc:
      @@available_locales_set ||= available_locales.inject(Set.new) do |set, locale|
        set << locale.to_s << locale.to_sym
      end
    end
","# Caches the available locales list as both strings and symbols in a Set, so
# that we can have faster lookups to do the available locales enforce check.
"
I18n::Config,available_locales=,locales,"locales => (Array<(String or Symbol)> or Array<Symbol> or Symbol)
",nil,"    def available_locales=(locales)
      @@available_locales = Array(locales).map { |locale| locale.to_sym }
      @@available_locales = nil if @@available_locales.empty?
      @@available_locales_set = nil
    end
","# Sets the available locales.
"
I18n::Config,available_locales_initialized?,"","",(false or true),"    def available_locales_initialized?
      ( !!defined?(@@available_locales) && !!@@available_locales )
    end
","# Returns true if the available_locales have been initialized
"
I18n::Config,clear_available_locales_set,"","",nil,"    def clear_available_locales_set #:nodoc:
      @@available_locales_set = nil
    end
","# Clears the available locales set so it can be recomputed again after I18n
# gets reloaded.
"
I18n::Config,default_separator,"","",String,"    def default_separator
      @@default_separator ||= '.'
    end
","# Returns the current default scope separator. Defaults to '.'
"
I18n::Config,default_separator=,separator,"separator => String
",String,"    def default_separator=(separator)
      @@default_separator = separator
    end
","# Sets the current default scope separator.
"
I18n::Config,missing_interpolation_argument_handler,"","",Proc,"    def missing_interpolation_argument_handler
      @@missing_interpolation_argument_handler ||= lambda do |missing_key, provided_hash, string|
        raise MissingInterpolationArgument.new(missing_key, provided_hash, string)
      end
    end
","# Returns the current handler for situations when interpolation argument
# is missing. MissingInterpolationArgument will be raised by default.
"
I18n::Config,missing_interpolation_argument_handler=,exception_handler,"exception_handler => Proc
",Proc,"    def missing_interpolation_argument_handler=(exception_handler)
      @@missing_interpolation_argument_handler = exception_handler
    end
","# Sets the missing interpolation argument handler. It can be any
# object that responds to #call. The arguments that will be passed to #call
# are the same as for MissingInterpolationArgument initializer. Use +Proc.new+
# if you don't care about arity.
#
# == Example:
# You can supress raising an exception and return string instead:
#
#   I18n.config.missing_interpolation_argument_handler = Proc.new do |key|
#     ""#{key} is missing""
#   end
"
I18n::Config,load_path,"","",(Array<%bot> or Array<Array<String>> or Array<String>),"    def load_path
      @@load_path ||= []
    end
","# Allow clients to register paths providing translation data sources. The
# backend defines acceptable sources.
#
# E.g. the provided SimpleBackend accepts a list of paths to translation
# files which are either named *.rb and contain plain Ruby Hashes or are
# named *.yml and contain YAML data. So for the SimpleBackend clients may
# register translation files like this:
#   I18n.load_path << 'path/to/locale/en.yml'
"
I18n::Config,load_path=,load_path,"load_path => (Array<Array<String>> or Array<String>)
",(Array<(I18n::Backend::Chain or I18n::Backend::Simple)> or Array<(I18n::Backend::KeyValue or I18n::Backend::Simple)> or Array<I18n::Backend::Simple> or true),"    def load_path=(load_path)
      @@load_path = load_path
      @@available_locales_set = nil
      backend.reload!
    end
","# Sets the load path instance. Custom implementations are expected to
# behave like a Ruby Array.
"
I18n::Config,enforce_available_locales,"","",(false or true),"    def enforce_available_locales
      @@enforce_available_locales
    end
",""
I18n::Config,enforce_available_locales=,enforce_available_locales,"enforce_available_locales => (false or true)
",(false or true),"    def enforce_available_locales=(enforce_available_locales)
      @@enforce_available_locales = enforce_available_locales
    end
",""
I18n::Config,interpolation_patterns,"","",Array<Regexp>,"    def interpolation_patterns
      @@interpolation_patterns ||= I18n::DEFAULT_INTERPOLATION_PATTERNS.dup
    end
","# Returns the current interpolation patterns. Defaults to
# I18n::DEFAULT_INTERPOLATION_PATTERNS.
"
I18n::Config,interpolation_patterns=,interpolation_patterns,"interpolation_patterns => Array<Regexp>
",Array<Regexp>,"    def interpolation_patterns=(interpolation_patterns)
      @@interpolation_patterns = interpolation_patterns
    end
","# Sets the current interpolation patterns. Used to set a interpolation
# patterns.
#
# E.g. using {{}} as a placeholder like ""{{hello}}, world!"":
#
#   I18n.config.interpolation_patterns << /\{\{(\w+)\}\}/
"
[s]I18n::Gettext,plural_keys,args,"args => (Array<%bot> or Array<RDL::Type::NominalType>)
","(Array<Symbol> or Hash<Symbol, Array<Symbol>>)","      def plural_keys(*args)
        args.empty? ? @@plural_keys : @@plural_keys[args.first] || @@plural_keys[:en]
      end
","# returns an array of plural keys for the given locale or the whole hash
# of locale mappings to plural keys so that we can convert from gettext's
# integer-index based style
# TODO move this information to the pluralization module
"
[s]I18n::Gettext,extract_scope,"msgid, separator","msgid => String
separator => String
",(Array<(Array<%bot> or String)> or Array<(Array<String> or String)>),"      def extract_scope(msgid, separator)
        scope = msgid.to_s.split(separator)
        msgid = scope.pop
        [scope, msgid]
      end
",""
I18n::Backend::Base,load_translations,filenames,"filenames => (Array<%bot> or Array<RDL::Type::GenericType> or Array<RDL::Type::NominalType>)
",(Array<%bot> or Array<String>),"      def load_translations(*filenames)
        filenames = I18n.load_path if filenames.empty?
        filenames.flatten.each { |filename| load_file(filename) }
      end
","# Accepts a list of paths to translation files. Loads translations from
# plain Ruby (*.rb), YAML files (*.yml), or JSON files (*.json). See #load_rb, #load_yml, and #load_json
# for details.
"
I18n::Backend::Base,exists?,"locale, key","locale => Symbol
key => (String or Symbol)
",(false or true),"      def exists?(locale, key)
        lookup(locale, key) != nil
      end
",""
I18n::Backend::Base,localize,"locale, object, format, options","locale => Symbol
object => (Date or Time)
format => (String or Symbol)
options => (Hash<%bot, %bot> or Hash<Symbol, String> or Hash<Symbol, nil>)
",String,"      def localize(locale, object, format = :default, options = EMPTY_HASH)
        if object.nil? && options.include?(:default)
          return options[:default]
        end
        raise ArgumentError, ""Object must be a Date, DateTime or Time object. #{object.inspect} given."" unless object.respond_to?(:strftime)

        if Symbol === format
          key  = format
          type = object.respond_to?(:sec) ? 'time' : 'date'
          options = options.merge(:raise => true, :object => object, :locale => locale)
          format  = I18n.t(:""#{type}.formats.#{key}"", **options)
        end

        format = translate_localization_format(locale, object, format, options)
        object.strftime(format)
      end
","# Acts the same as +strftime+, but uses a localized version of the
# format string. Takes a key from the date/time formats translations as
# a format argument (<em>e.g.</em>, <tt>:short</tt> in <tt>:'date.formats'</tt>).
"
I18n::Backend::Base,reload!,"","",(nil or true),"      def reload!
        eager_load! if eager_loaded?
      end
",""
I18n::Backend::Base,eager_load!,"","",true,"      def eager_load!
        @eager_loaded = true
      end
",""
I18n::Backend::Base,eager_loaded?,"","",(false or true),"        def eager_loaded?
          @eager_loaded ||= false
        end
",""
I18n::Backend::Base,subtrees?,"","",true,"        def subtrees?
          true
        end
",""
