Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
Mail::Envelope,element,"","",Mail::EnvelopeFromElement,"    def element
      @element ||= Mail::EnvelopeFromElement.new(value)
    end
",""
Mail::Envelope,from,"","",String,"    def from
      element.address
    end
",""
Mail::Envelope,date,"","",DateTime,"    def date
      element.date_time
    end
",""
Mail::Part,add_content_id,content_id_val,"content_id_val => String
",String,"    def add_content_id(content_id_val = '')
      header['content-id'] = content_id_val
    end
","# Creates a new empty Content-ID field and inserts it in the correct order
# into the Header.  The ContentIdField object will automatically generate
# a unique content ID if you try and encode it or output it to_s without
# specifying a content id.
# 
# It will preserve the content ID you specify if you do.
"
Mail::Part,has_content_id?,"","",(false or true),"    def has_content_id?
      header.has_content_id?
    end
","# Returns true if the part has a content ID field, the field may or may
# not have a value, but the field exists or not.
"
Mail::Part,cid,"","",String,"    def cid
      add_content_id unless has_content_id?
      Utilities.uri_escape(Utilities.unbracket(content_id))
    end
",""
Mail::Part,url,"","",String,"    def url
      ""cid:#{cid}""
    end
",""
Mail::Part,inline?,"","",(false or nil or true),"    def inline?
      header[:content_disposition].disposition_type == 'inline' if header[:content_disposition].respond_to?(:disposition_type)
    end
",""
Mail::Part,add_required_fields,"","",String,"    def add_required_fields
      super
      add_content_id if !has_content_id? && inline?
    end
",""
Mail::Part,add_required_message_fields,"","",nil,"    def add_required_message_fields
      # Override so we don't add Date, MIME-Version, or Message-ID.
    end
",""
Mail::Part,delivery_status_report_part?,"","",Integer,"    def delivery_status_report_part?
      (main_type =~ /message/i && sub_type =~ /delivery-status/i) && body =~ /Status:/
    end
",""
Mail::Part,delivery_status_data,"","",Mail::Header,"    def delivery_status_data
      delivery_status_report_part? ? parse_delivery_status_report : {}
    end
",""
Mail::Part,bounced?,"","",(false or true),"    def bounced?
      if action.is_a?(Array)
        !!(action.first =~ /failed/i)
      else
        !!(action =~ /failed/i)
      end
    end
",""
Mail::Part,action,"","",(Array<String> or String),"    def action
      get_return_values('action')
    end
","# Either returns the action if the message has just a single report, or an
# array of all the actions, one for each report
"
Mail::Part,final_recipient,"","",String,"    def final_recipient
      get_return_values('final-recipient')
    end
",""
Mail::Part,error_status,"","",String,"    def error_status
      get_return_values('status')
    end
",""
Mail::Part,diagnostic_code,"","",String,"    def diagnostic_code
      get_return_values('diagnostic-code')
    end
",""
Mail::Part,remote_mta,"","",String,"    def remote_mta
      get_return_values('remote-mta')
    end
",""
Mail::Part,retryable?,"","",(false or true),"    def retryable?
      !(error_status =~ /^5/)
    end
",""
Mail::Part,get_return_values,key,"key => String
",(Array<String> or String),"    def get_return_values(key)
      if delivery_status_data[key].is_a?(Array)
        delivery_status_data[key].map { |a| a.value }
      elsif !delivery_status_data[key].nil?
        delivery_status_data[key].value
      else
        nil
      end
    end
",""
Mail::Part,parse_message,"","",String,"    def parse_message
      header_part, body_part = raw_source.split(/#{Constants::LAX_CRLF}#{Constants::WSP}*#{Constants::LAX_CRLF}/m, 2)
      if header_part =~ Constants::HEADER_LINE
        self.header = header_part
        self.body   = body_part
      else
        self.header = ""Content-Type: text/plain\r\n""
        self.body   = raw_source
      end
    end
","# A part may not have a header.... so, just init a body if no header
"
Mail::Part,parse_delivery_status_report,"","",Mail::Header,"    def parse_delivery_status_report
      @delivery_status_data ||= Header.new(body.to_s.gsub(""\r\n\r\n"", ""\r\n""))
    end
",""
Mail::Utilities,atom_safe?,str,"str => (Mail::Multibyte::Chars or String)
",(false or true),"    def atom_safe?( str )
      not Constants::ATOM_UNSAFE === str
    end
","# Returns true if the string supplied is free from characters not allowed as an ATOM
"
Mail::Utilities,quote_atom,str,"str => (Mail::Multibyte::Chars or String)
",(Mail::Multibyte::Chars or String),"    def quote_atom( str )
      atom_safe?( str ) ? str : dquote(str)
    end
","# If the string supplied has ATOM unsafe characters in it, will return the string quoted
# in double quotes, otherwise returns the string unmodified
"
Mail::Utilities,quote_phrase,str,"str => String
",String,"    def quote_phrase( str )
      if str.respond_to?(:force_encoding)
        original_encoding = str.encoding
        ascii_str = str.to_s.dup.force_encoding('ASCII-8BIT')
        if Constants::PHRASE_UNSAFE === ascii_str
          dquote(ascii_str).force_encoding(original_encoding)
        else
          str
        end
      else
        Constants::PHRASE_UNSAFE === str ? dquote(str) : str
      end
    end
","# If the string supplied has PHRASE unsafe characters in it, will return the string quoted
# in double quotes, otherwise returns the string unmodified
"
Mail::Utilities,token_safe?,str,"str => (Mail::Multibyte::Chars or String)
",(false or true),"    def token_safe?( str )
      not Constants::TOKEN_UNSAFE === str
    end
","# Returns true if the string supplied is free from characters not allowed as a TOKEN
"
Mail::Utilities,quote_token,str,"str => (Mail::Multibyte::Chars or String)
",(Mail::Multibyte::Chars or String),"    def quote_token( str )
      if str.respond_to?(:force_encoding)
        original_encoding = str.encoding
        ascii_str = str.to_s.dup.force_encoding('ASCII-8BIT')
        if token_safe?( ascii_str )
          str
        else
          dquote(ascii_str).force_encoding(original_encoding)
        end
      else
        token_safe?( str ) ? str : dquote(str)
      end
    end
","# If the string supplied has TOKEN unsafe characters in it, will return the string quoted
# in double quotes, otherwise returns the string unmodified
"
Mail::Utilities,dquote,str,"str => (Mail::Multibyte::Chars or String)
",String,"    def dquote( str )
      '""' + unquote(str).gsub(/[\\""]/n) {|s| '\\' + s } + '""'
    end
","# Wraps supplied string in double quotes and applies \-escaping as necessary,
# unless it is already wrapped.
#
# Example:
#
#  string = 'This is a string'
#  dquote(string) #=> '""This is a string""'
#
#  string = 'This is ""a string""'
#  dquote(string #=> '""This is \""a string\""'
"
Mail::Utilities,unquote,str,"str => (Mail::Multibyte::Chars or String)
",(Mail::Multibyte::Chars or String),"    def unquote( str )
      if str =~ /^""(.*?)""$/
        unescape($1)
      else
        str
      end
    end
","# Unwraps supplied string from inside double quotes and
# removes any \-escaping.
#
# Example:
#
#  string = '""This is a string""'
#  unquote(string) #=> 'This is a string'
#
#  string = '""This is \""a string\""""'
#  unqoute(string) #=> 'This is ""a string""'
"
Mail::Utilities,unescape,str,"str => String
",String,"    def unescape( str )
      str.gsub(/\\(.)/, '\1')
    end
","# Removes any \-escaping.
#
# Example:
#
#  string = 'This is \""a string\""'
#  unescape(string) #=> 'This is ""a string""'
#
#  string = '""This is \""a string\""""'
#  unescape(string) #=> '""This is ""a string""""'
"
Mail::Utilities,paren,str,"str => String
",String,"    def paren( str )
      RubyVer.paren( str )
    end
","# Wraps a string in parenthesis and escapes any that are in the string itself.
#
# Example:
#
#  paren( 'This is a string' ) #=> '(This is a string)'
"
Mail::Utilities,unparen,str,"str => (Mail::Multibyte::Chars or String)
",(Mail::Multibyte::Chars or String),"    def unparen( str )
      if str.start_with?('(') && str.end_with?(')')
        str.slice(1..-2)
      else
        str
      end
    end
","# Unwraps a string from being wrapped in parenthesis
#
# Example:
#
#  str = '(This is a string)'
#  unparen( str ) #=> 'This is a string'
"
Mail::Utilities,bracket,str,"str => String
",String,"    def bracket( str )
      RubyVer.bracket( str )
    end
","# Wraps a string in angle brackets and escapes any that are in the string itself
#
# Example:
#
#  bracket( 'This is a string' ) #=> '<This is a string>'
"
Mail::Utilities,unbracket,str,"str => (Mail::Multibyte::Chars or String)
",(Mail::Multibyte::Chars or String),"    def unbracket( str )
      if str.start_with?('<') && str.end_with?('>')
        str.slice(1..-2)
      else
        str
      end
    end
","# Unwraps a string from being wrapped in parenthesis
#
# Example:
#
#  str = '<This is a string>'
#  unbracket( str ) #=> 'This is a string'
"
Mail::Utilities,escape_paren,str,"str => String
",String,"    def escape_paren( str )
      RubyVer.escape_paren( str )
    end
","# Escape parenthesies in a string
#
# Example:
#
#  str = 'This is (a) string'
#  escape_paren( str ) #=> 'This is \(a\) string'
"
Mail::Utilities,uri_escape,str,"str => String
",String,"    def uri_escape( str )
      uri_parser.escape(str)
    end
",""
Mail::Utilities,uri_unescape,str,"str => String
",String,"    def uri_unescape( str )
      uri_parser.unescape(str)
    end
",""
Mail::Utilities,uri_parser,"","",URI::RFC2396_Parser,"    def uri_parser
      @uri_parser ||= URI.const_defined?(:DEFAULT_PARSER) ? URI::DEFAULT_PARSER : URI
    end
",""
Mail::Utilities,match_to_s,"obj1, obj2","obj1 => String
obj2 => String
",(false or true),"    def match_to_s( obj1, obj2 )
      obj1.to_s.casecmp(obj2.to_s) == 0
    end
","# Matches two objects with their to_s values case insensitively
#
# Example:
#
#  obj2 = ""This_is_An_object""
#  obj1 = :this_IS_an_object
#  match_to_s( obj1, obj2 ) #=> true
"
