Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
MiniMagick::Image,initialize,"input_path, tempfile, block","input_path => (Pathname or String)
tempfile => Tempfile
block => nil
",MiniMagick::Image,"    def initialize(input_path, tempfile = nil, &block)
      @path = input_path.to_s
      @tempfile = tempfile
      @info = MiniMagick::Image::Info.new(@path)

      combine_options(&block) if block
    end
","##
# Create a new {MiniMagick::Image} object.
#
# _DANGER_: The file location passed in here is the *working copy*. That
# is, it gets *modified*. You can either copy it yourself or use {.open}
# which creates a temporary file for you and protects your original.
#
# @param input_path [String, Pathname] The location of an image file
# @yield [MiniMagick::Tool::Mogrify] If block is given, {#combine_options}
#   is called.
#
"
MiniMagick::Image,==,other,"other => MiniMagick::Image
",(false or true),"    def ==(other)
      self.class == other.class && signature == other.signature
    end
",""
MiniMagick::Image,hash,"","",Integer,"    def hash
      signature.hash
    end
",""
MiniMagick::Image,valid?,"","",(false or true),"    def valid?
      validate!
      true
    rescue MiniMagick::Invalid
      false
    end
","##
# Checks to make sure that MiniMagick can read the file and understand it.
#
# This uses the 'identify' command line utility to check the file. If you
# are having issues with this, then please work directly with the
# 'identify' command and see if you can figure out what the issue is.
#
# @return [Boolean]
#
"
MiniMagick::Image,validate!,"","",String,"    def validate!
      identify
    rescue MiniMagick::Error => error
      raise MiniMagick::Invalid, error.message
    end
","##
# Runs `identify` on the current image, and raises an error if it doesn't
# pass.
#
# @raise [MiniMagick::Invalid]
#
"
MiniMagick::Image,[],value,"value => (String or Symbol)
",(Array<Integer> or Integer or String),"    def [](value)
      @info[value.to_s]
    end
","##
# Use this method if you want to access raw Identify's format API.
#
# @example
#    image[""%w %h""]       #=> ""250 450""
#    image[""%r""]          #=> ""DirectClass sRGB""
#
# @param value [String]
# @see http://www.imagemagick.org/script/escape.php
# @return [String]
#
"
MiniMagick::Image,layers,"","",Array<MiniMagick::Image>,"    def layers
      layers_count = identify.lines.count
      layers_count.times.map do |idx|
        MiniMagick::Image.new(""#{path}[#{idx}]"")
      end
    end
","##
# Returns layers of the image. For example, JPEGs are 1-layered, but
# formats like PSDs, GIFs and PDFs can have multiple layers/frames/pages.
#
# @example
#   image = MiniMagick::Image.new(""document.pdf"")
#   image.pages.each_with_index do |page, idx|
#     page.write(""page#{idx}.pdf"")
#   end
# @return [Array<MiniMagick::Image>]
#
"
MiniMagick::Image,get_pixels,"","",Array<Array<Array<Integer>>>,"    def get_pixels
      convert = MiniMagick::Tool::Convert.new
      convert << path
      convert.depth(8)
      convert << ""RGB:-""

      # Do not use `convert.call` here. We need the whole binary (unstripped) output here.
      shell = MiniMagick::Shell.new
      output, * = shell.run(convert.command)

      pixels_array = output.unpack(""C*"")
      pixels = pixels_array.each_slice(3).each_slice(width).to_a

      # deallocate large intermediary objects
      output.clear
      pixels_array.clear

      pixels
    end
","##
# Returns a matrix of pixels from the image. The matrix is constructed as
# an array (1) of arrays (2) of arrays (3) of unsigned integers:
#
# 1) one for each row of pixels
# 2) one for each column of pixels
# 3) three elements in the range 0-255, one for each of the RGB color channels
#
# @example
#   img = MiniMagick::Image.open 'image.jpg'
#   pixels = img.get_pixels
#   pixels[3][2][1] # the green channel value from the 4th-row, 3rd-column pixel
#
# It can also be called after applying transformations:
#
# @example
#   img = MiniMagick::Image.open 'image.jpg'
#   img.crop '20x30+10+5'
#   img.colorspace 'Gray'
#   pixels = img.get_pixels
#
# In this example, all pixels in pix should now have equal R, G, and B values.
#
# @return [Array] Matrix of each color of each pixel
"
MiniMagick::Image,format,"format, page, read_opts","format => String
page => Integer
read_opts => (Hash<%bot, %bot> or Hash<Symbol, String>)
",MiniMagick::Image,"    def format(format, page = 0, read_opts={})
      if @tempfile
        new_tempfile = MiniMagick::Utilities.tempfile("".#{format}"")
        new_path = new_tempfile.path
      else
        new_path = Pathname(path).sub_ext("".#{format}"").to_s
      end

      input_path = path.dup
      input_path << ""[#{page}]"" if page && !layer?

      MiniMagick::Tool::Convert.new do |convert|
        read_opts.each do |opt, val|
          convert.send(opt.to_s, val)
        end
        convert << input_path
        yield convert if block_given?
        convert << new_path
      end

      if @tempfile
        destroy!
        @tempfile = new_tempfile
      else
        File.delete(path) unless path == new_path || layer?
      end

      path.replace new_path
      @info.clear

      self
    end
","##
# This is used to change the format of the image. That is, from ""tiff to
# jpg"" or something like that. Once you run it, the instance is pointing to
# a new file with a new extension!
#
# *DANGER*: This renames the file that the instance is pointing to. So, if
# you manually opened the file with Image.new(file_path)... Then that file
# is DELETED! If you used Image.open(file) then you are OK. The original
# file will still be there. But, any changes to it might not be...
#
# Formatting an animation into a non-animated type will result in
# ImageMagick creating multiple pages (starting with 0).  You can choose
# which page you want to manipulate.  We default to the first page.
#
# If you would like to convert between animated formats, pass nil as your
# page and ImageMagick will copy all of the pages.
#
# @param format [String] The target format... Like 'jpg', 'gif', 'tiff' etc.
# @param page [Integer] If this is an animated gif, say which 'page' you
#   want with an integer. Default 0 will convert only the first page; 'nil'
#   will convert all pages.
# @param read_opts [Hash] Any read options to be passed to ImageMagick
#   for example: image.format('jpg', page, {density: '300'})
# @yield [MiniMagick::Tool::Convert] It optionally yields the command,
#   if you want to add something.
# @return [self]
#
"
MiniMagick::Image,combine_options,block,"block => nil
",MiniMagick::Image,"    def combine_options(&block)
      mogrify(&block)
    end
","##
# You can use multiple commands together using this method. Very easy to
# use!
#
# @example
#   image.combine_options do |c|
#     c.draw ""image Over 0,0 10,10 '#{MINUS_IMAGE_PATH}'""
#     c.thumbnail ""300x500>""
#     c.background ""blue""
#   end
#
# @yield [MiniMagick::Tool::Mogrify]
# @see http://www.imagemagick.org/script/mogrify.php
# @return [self]
#
"
