Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
Money::FormattingRules,initialize,"currency, raw_rules","currency => Money::Currency
raw_rules => (Array<%bot> or Array<RDL::Type::GenericType> or Array<RDL::Type::NominalType>)
",nil,"    def initialize(currency, *raw_rules)
      @currency = currency

      # support for old format parameters
      @rules = normalize_formatting_rules(raw_rules)

      @rules = default_formatting_rules.merge(@rules) unless @rules[:ignore_defaults]
      @rules = localize_formatting_rules(@rules)
      @rules = translate_formatting_rules(@rules) if @rules[:translate]
      @rules[:format] ||= determine_format_from_formatting_rules(@rules)

      warn_about_deprecated_rules(@rules)
    end
",""
Money::FormattingRules,[],key,"key => Symbol
",(String or false or true),"    def [](key)
      @rules[key]
    end
",""
Money::FormattingRules,has_key?,key,"key => Symbol
",(false or true),"    def has_key?(key)
      @rules.has_key? key
    end
",""
Money::FormattingRules,normalize_formatting_rules,rules,"rules => Array<%bot>
","(Hash<%bot, %bot> or Hash<Symbol, (String or Symbol or false)> or Hash<Symbol, (String or Symbol or true)> or Hash<Symbol, (String or Symbol)> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or false)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or false)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or nil)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil> or Hash<Symbol, true>)","    def normalize_formatting_rules(rules)
      if rules.size == 0
        rules = {}
      elsif rules.size == 1
        rules = rules.pop
        rules = rules.dup if rules.is_a?(Hash)

        if rules.is_a?(Symbol)
          warn '[DEPRECATION] Use Hash when passing rules to Money#format.'
          rules = { rules => true }
        end
      end

      if !rules.include?(:decimal_mark) && rules.include?(:separator)
        rules[:decimal_mark] = rules[:separator]
      end

      if !rules.include?(:thousands_separator) && rules.include?(:delimiter)
        rules[:thousands_separator] = rules[:delimiter]
      end

      rules
    end
","# Cleans up formatting rules.
#
# @param [Hash] rules
#
# @return [Hash]
"
Money::FormattingRules,default_formatting_rules,"","","(Hash<%bot, %bot> or Hash<Symbol, String>)","    def default_formatting_rules
      Money.default_formatting_rules || {}
    end
",""
Money::FormattingRules,translate_formatting_rules,rules,"rules => Hash<Symbol, (String or true)>
","Hash<Symbol, (String or true)>","    def translate_formatting_rules(rules)
      begin
        rules[:symbol] = I18n.t currency.iso_code, scope: ""number.currency.symbol"", raise: true
      rescue I18n::MissingTranslationData
        # Do nothing
      end
      rules
    end
",""
Money::FormattingRules,localize_formatting_rules,rules,"rules => (Hash<%bot, %bot> or Hash<Symbol, (String or Symbol or false)> or Hash<Symbol, (String or Symbol or true)> or Hash<Symbol, (String or Symbol)> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or false)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or false)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or nil)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil> or Hash<Symbol, true>)
","(Hash<%bot, %bot> or Hash<Symbol, (String or Symbol or false)> or Hash<Symbol, (String or Symbol or true)> or Hash<Symbol, (String or Symbol)> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or false)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or false)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or nil)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil> or Hash<Symbol, true>)","    def localize_formatting_rules(rules)
      if currency.iso_code == ""JPY"" && I18n.locale == :ja
        rules[:symbol] = ""円"" unless rules[:symbol] == false
        rules[:format] = '%n%u'
      end
      rules
    end
",""
Money::FormattingRules,determine_format_from_formatting_rules,rules,"rules => (Hash<%bot, %bot> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or false)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or nil)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil> or Hash<Symbol, true>)
",String,"    def determine_format_from_formatting_rules(rules)
      symbol_position = symbol_position_from(rules)

      if symbol_position == :before
        rules.fetch(:symbol_before_without_space, true) ? '%u%n' : '%u %n'
      else
        rules[:symbol_after_without_space] ? '%n%u' : '%n %u'
      end
    end
",""
Money::FormattingRules,symbol_position_from,rules,"rules => (Hash<%bot, %bot> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or false)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or nil)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil> or Hash<Symbol, true>)
",Symbol,"    def symbol_position_from(rules)
      if rules.has_key?(:symbol_position)
        if [:before, :after].include?(rules[:symbol_position])
          return rules[:symbol_position]
        else
          raise ArgumentError, "":symbol_position must be ':before' or ':after'""
        end
      elsif currency.symbol_first?
        :before
      else
        :after
      end
    end
",""
Money::FormattingRules,warn_about_deprecated_rules,rules,"rules => (Hash<Symbol, (String or Symbol or false)> or Hash<Symbol, (String or Symbol or true)> or Hash<Symbol, (String or Symbol)> or Hash<Symbol, (String or false or true)> or Hash<Symbol, (String or false)> or Hash<Symbol, (String or true)> or Hash<Symbol, String>)
",nil,"    def warn_about_deprecated_rules(rules)
      if rules.has_key?(:symbol_position)
        position = rules[:symbol_position]
        template = position == :before ? '%u %n' : '%n %u'

        warn ""[DEPRECATION] `symbol_position: :#{position}` is deprecated - you can replace it with `format: #{template}`""
      end

      if rules.has_key?(:symbol_before_without_space)
        warn ""[DEPRECATION] `symbol_before_without_space:` option is deprecated - you can replace it with `format: '%u%n'`""
      end

      if rules.has_key?(:symbol_after_without_space)
        warn ""[DEPRECATION] `symbol_after_without_space:` option is deprecated - you can replace it with `format: '%n%u'`""
      end

      if rules.has_key?(:html)
        warn ""[DEPRECATION] `html` is deprecated - use `html_wrap` instead. Please note that `html_wrap` will wrap all parts of currency and if you use `with_currency` option, currency element class changes from `currency` to `money-currency`.""
      end

      if rules.has_key?(:html_wrap_symbol)
        warn ""[DEPRECATION] `html_wrap_symbol` is deprecated - use `html_wrap` instead. Please note that `html_wrap` will wrap all parts of currency.""
      end
    end
",""
