Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
Sidekiq::Manager,initialize,options,"options => (Hash<Symbol, (Array<%bot> or Array<Sidekiq::ExceptionHandler::Logger> or Hash<Symbol, (Array<%bot> or Array<Proc>)> or Integer or Proc or String)> or Hash<Symbol, (Array<String> or Integer or String)> or Hash<Symbol, (Array<String> or Integer)>)
",Thread::Mutex,"    def initialize(options = {})
      logger.debug { options.inspect }
      @options = options
      @count = options[:concurrency] || 10
      raise ArgumentError, ""Concurrency of #{@count} is not supported"" if @count < 1

      @done = false
      @workers = Set.new
      @count.times do
        @workers << Processor.new(self)
      end
      @plock = Mutex.new
    end
",""
Sidekiq::Manager,quiet,"","",Array<%bot>,"    def quiet
      return if @done
      @done = true

      logger.info { ""Terminating quiet workers"" }
      @workers.each { |x| x.terminate }
      fire_event(:quiet, reverse: true)
    end
",""
Sidekiq::Manager,stop,deadline,"deadline => Float
",Set,"    def stop(deadline)
      quiet
      fire_event(:shutdown, reverse: true)

      # some of the shutdown events can be async,
      # we don't have any way to know when they're done but
      # give them a little time to take effect
      sleep PAUSE_TIME
      return if @workers.empty?

      logger.info { ""Pausing to allow workers to finish..."" }
      remaining = deadline - ::Process.clock_gettime(::Process::CLOCK_MONOTONIC)
      while remaining > PAUSE_TIME
        return if @workers.empty?
        sleep PAUSE_TIME
        remaining = deadline - ::Process.clock_gettime(::Process::CLOCK_MONOTONIC)
      end
      return if @workers.empty?

      hard_shutdown
    end
",""
Sidekiq::Manager,processor_stopped,processor,"processor => Sidekiq::Processor
",Set,"    def processor_stopped(processor)
      @plock.synchronize do
        @workers.delete(processor)
      end
    end
",""
Sidekiq::Manager,processor_died,"processor, reason","processor => Sidekiq::Processor
reason => String
",Thread,"    def processor_died(processor, reason)
      @plock.synchronize do
        @workers.delete(processor)
        unless @done
          p = Processor.new(self)
          @workers << p
          p.start
        end
      end
    end
",""
Sidekiq::Manager,hard_shutdown,"","",Set,"    def hard_shutdown
      # We've reached the timeout and we still have busy workers.
      # They must die but their jobs shall live on.
      cleanup = nil
      @plock.synchronize do
        cleanup = @workers.dup
      end

      if cleanup.size > 0
        jobs = cleanup.map { |p| p.job }.compact

        logger.warn { ""Terminating #{cleanup.size} busy worker threads"" }
        logger.warn { ""Work still in progress #{jobs.inspect}"" }

        # Re-enqueue unfinished jobs
        # NOTE: You may notice that we may push a job back to redis before
        # the worker thread is terminated. This is ok because Sidekiq's
        # contract says that jobs are run AT LEAST once. Process termination
        # is delayed until we're certain the jobs are back in Redis because
        # it is worse to lose a job than to run it twice.
        strategy = (@options[:fetch] || Sidekiq::BasicFetch)
        strategy.bulk_requeue(jobs, @options)
      end

      cleanup.each do |processor|
        processor.kill
      end
    end
",""
[s]Sidekiq::Testing,__set_test_mode,mode,"mode => Symbol
",(Symbol or false or true),"      def __set_test_mode(mode)
        if block_given?
          current_mode = __test_mode
          begin
            self.__test_mode = mode
            yield
          ensure
            self.__test_mode = current_mode
          end
        else
          self.__test_mode = mode
        end
      end
",""
[s]Sidekiq::Testing,disable!,block,"block => nil
",(Symbol or true),"      def disable!(&block)
        __set_test_mode(:disable, &block)
      end
",""
[s]Sidekiq::Testing,fake!,block,"block => nil
",(Symbol or false or true),"      def fake!(&block)
        __set_test_mode(:fake, &block)
      end
",""
[s]Sidekiq::Testing,inline!,block,"block => nil
",(Symbol or true),"      def inline!(&block)
        __set_test_mode(:inline, &block)
      end
",""
